iter	Passed	Remaining
0	13	19932
1	25	19316
2	43	21730
3	54	20286
4	76	22773
5	88	22108
6	101	21638
7	112	21050
8	121	20087
9	128	19189
10	136	18539
11	147	18241
12	155	17777
13	162	17268
14	170	16911
15	178	16564
16	188	16438
17	196	16207
18	201	15727
19	206	15296
20	208	14659
21	212	14270
22	217	13936
23	221	13635
24	226	13341
25	230	13078
26	235	12856
27	237	12503
28	242	12295
29	246	12098
30	251	11910
31	255	11735
32	260	11574
33	264	11422
34	269	11285
35	274	11144
36	279	11032
37	283	10909
38	288	10799
39	292	10684
40	297	10577
41	302	10495
42	306	10399
43	311	10305
44	315	10213
45	320	10132
46	325	10052
47	329	9972
48	334	9898
49	338	9824
50	343	9754
51	347	9686
52	352	9627
53	357	9561
54	361	9502
55	366	9442
56	370	9385
57	375	9330
58	380	9282
59	385	9240
60	389	9191
61	394	9143
62	398	9092
63	403	9051
64	407	9006
65	412	8965
66	414	8860
67	419	8828
68	423	8788
69	428	8750
70	433	8716
71	437	8681
72	442	8645
73	446	8611
74	451	8583
75	456	8549
76	460	8517
77	463	8450
78	468	8423
79	472	8393
80	478	8377
81	482	8350
82	487	8322
83	492	8293
84	496	8265
85	501	8241
86	505	8217
87	510	8191
88	515	8165
89	519	8139
90	524	8114
91	528	8089
92	533	8064
93	537	8038
94	541	8013
95	546	7990
96	550	7969
97	555	7948
98	560	7926
99	564	7908
100	569	7888
101	574	7875
102	579	7853
103	583	7834
104	588	7816
105	592	7796
106	597	7781
107	602	7761
108	606	7742
109	611	7723
110	615	7707
111	620	7689
112	625	7672
113	629	7655
114	634	7637
115	638	7620
116	643	7602
117	648	7590
118	652	7573
119	655	7535
120	659	7518
121	664	7508
122	669	7492
123	674	7480
124	678	7467
125	683	7453
126	688	7438
127	692	7425
128	697	7417
129	702	7403
130	706	7388
131	711	7374
132	716	7367
133	721	7353
134	725	7338
135	730	7324
136	734	7309
137	739	7295
138	744	7289
139	748	7275
140	753	7261
141	757	7247
142	761	7223
143	765	7209
144	767	7174
145	772	7166
146	777	7155
147	782	7143
148	786	7132
149	791	7120
150	794	7098
151	799	7087
152	803	7075
153	808	7064
154	813	7056
155	817	7045
156	821	7023
157	825	7014
158	830	7004
159	832	6970
160	836	6960
161	841	6950
162	846	6940
163	850	6930
164	855	6919
165	859	6908
166	864	6898
167	868	6889
168	873	6879
169	878	6876
170	883	6865
171	887	6855
172	892	6848
173	897	6838
174	901	6828
175	906	6818
176	911	6810
177	915	6800
178	920	6789
179	924	6781
180	929	6770
181	933	6761
182	938	6751
183	942	6743
184	947	6733
185	951	6723
186	956	6713
187	957	6684
188	962	6674
189	967	6668
190	971	6658
191	976	6650
192	980	6643
193	985	6634
194	990	6625
195	994	6616
196	999	6607
197	1003	6598
198	1008	6590
199	1012	6581
200	1013	6551
201	1018	6542
202	1023	6538
203	1028	6531
204	1032	6523
205	1037	6514
206	1041	6508
207	1046	6500
208	1051	6492
209	1055	6486
210	1060	6478
211	1065	6475
212	1070	6467
213	1075	6462
214	1079	6453
215	1084	6445
216	1088	6437
217	1093	6429
218	1097	6421
219	1102	6413
220	1106	6405
221	1111	6396
222	1115	6387
223	1120	6381
224	1124	6372
225	1129	6364
226	1133	6356
227	1138	6350
228	1142	6342
229	1144	6322
230	1149	6313
231	1154	6308
232	1158	6300
233	1163	6293
234	1167	6285
235	1172	6278
236	1176	6271
237	1181	6262
238	1185	6256
239	1190	6248
240	1194	6240
241	1199	6234
242	1204	6228
243	1208	6221
244	1213	6213
245	1217	6207
246	1222	6200
247	1226	6193
248	1231	6186
249	1236	6181
250	1240	6174
251	1245	6167
252	1249	6159
253	1254	6153
254	1258	6146
255	1263	6140
256	1268	6134
257	1272	6127
258	1277	6121
259	1282	6114
260	1287	6110
261	1291	6103
262	1296	6096
263	1301	6092
264	1305	6085
265	1310	6077
266	1314	6070
267	1319	6063
268	1323	6056
269	1327	6049
270	1332	6043
271	1337	6036
272	1341	6029
273	1345	6022
274	1350	6017
275	1355	6010
276	1359	6004
277	1364	5998
278	1369	5994
279	1374	5988
280	1378	5982
281	1383	5977
282	1388	5970
283	1393	5965
284	1397	5958
285	1402	5952
286	1406	5944
287	1411	5938
288	1415	5933
289	1420	5926
290	1424	5920
291	1429	5914
292	1434	5908
293	1438	5902
294	1443	5896
295	1448	5890
296	1452	5884
297	1457	5877
298	1461	5871
299	1466	5865
300	1470	5858
301	1475	5852
302	1480	5847
303	1484	5840
304	1489	5834
305	1493	5828
306	1498	5824
307	1503	5817
308	1507	5811
309	1512	5807
310	1517	5801
311	1522	5795
312	1526	5790
313	1531	5785
314	1536	5778
315	1540	5772
316	1544	5765
317	1549	5759
318	1554	5753
319	1558	5747
320	1563	5742
321	1567	5735
322	1572	5729
323	1576	5722
324	1581	5718
325	1586	5711
326	1590	5706
327	1595	5701
328	1599	5694
329	1604	5688
330	1609	5682
331	1613	5676
332	1618	5671
333	1622	5664
334	1627	5658
335	1632	5654
336	1636	5648
337	1641	5641
338	1645	5636
339	1650	5630
340	1655	5626
341	1660	5620
342	1664	5614
343	1668	5608
344	1673	5602
345	1678	5597
346	1682	5591
347	1687	5584
348	1691	5578
349	1696	5575
350	1701	5569
351	1705	5563
352	1710	5558
353	1714	5551
354	1719	5546
355	1723	5539
356	1728	5535
357	1733	5528
358	1737	5522
359	1741	5516
360	1746	5510
361	1751	5504
362	1755	5499
363	1761	5496
364	1765	5490
365	1769	5484
366	1774	5477
367	1778	5472
368	1783	5466
369	1787	5460
370	1792	5456
371	1797	5450
372	1801	5444
373	1806	5438
374	1814	5442
375	1818	5435
376	1822	5429
377	1827	5425
378	1832	5419
379	1836	5413
380	1841	5408
381	1846	5403
382	1851	5399
383	1855	5393
384	1860	5388
385	1865	5382
386	1869	5376
387	1874	5371
388	1878	5366
389	1883	5360
390	1887	5354
391	1893	5351
392	1897	5345
393	1902	5339
394	1907	5335
395	1911	5329
396	1916	5323
397	1920	5318
398	1925	5313
399	1930	5308
400	1934	5302
401	1939	5297
402	1944	5292
403	1948	5286
404	1953	5281
405	1958	5277
406	1963	5272
407	1967	5266
408	1972	5261
409	1977	5256
410	1981	5250
411	1985	5244
412	1990	5238
413	1995	5233
414	1999	5227
415	2003	5221
416	2008	5216
417	2013	5210
418	2017	5204
419	2022	5199
420	2026	5193
421	2030	5188
422	2035	5182
423	2040	5177
424	2044	5172
425	2049	5167
426	2054	5163
427	2059	5157
428	2063	5152
429	2068	5147
430	2073	5143
431	2078	5137
432	2082	5131
433	2087	5128
434	2092	5122
435	2096	5117
436	2101	5112
437	2105	5106
438	2110	5100
439	2114	5094
440	2119	5088
441	2123	5083
442	2128	5077
443	2132	5071
444	2137	5067
445	2141	5061
446	2146	5056
447	2151	5051
448	2155	5045
449	2160	5040
450	2164	5035
451	2169	5029
452	2174	5024
453	2178	5018
454	2182	5013
455	2187	5007
456	2191	5001
457	2196	4996
458	2201	4992
459	2205	4986
460	2210	4981
461	2214	4976
462	2219	4972
463	2224	4966
464	2229	4961
465	2233	4955
466	2237	4950
467	2242	4944
468	2247	4939
469	2251	4934
470	2256	4929
471	2261	4924
472	2265	4919
473	2270	4914
474	2274	4908
475	2279	4903
476	2284	4898
477	2288	4893
478	2293	4887
479	2297	4882
480	2302	4877
481	2306	4872
482	2311	4867
483	2316	4862
484	2320	4856
485	2325	4850
486	2329	4845
487	2333	4839
488	2338	4834
489	2343	4829
490	2347	4824
491	2352	4819
492	2356	4814
493	2361	4808
494	2366	4803
495	2370	4798
496	2375	4793
497	2379	4787
498	2383	4782
499	2388	4776
500	2392	4771
501	2397	4766
502	2402	4761
503	2406	4755
504	2411	4750
505	2415	4745
506	2419	4739
507	2424	4734
508	2428	4729
509	2433	4724
510	2438	4719
511	2443	4715
512	2447	4709
513	2452	4704
514	2456	4698
515	2461	4693
516	2466	4690
517	2471	4684
518	2475	4679
519	2480	4675
520	2485	4669
521	2489	4664
522	2494	4659
523	2498	4654
524	2503	4649
525	2507	4644
526	2512	4639
527	2517	4634
528	2521	4628
529	2526	4623
530	2530	4618
531	2535	4613
532	2540	4608
533	2544	4603
534	2549	4598
535	2554	4593
536	2558	4588
537	2563	4583
538	2567	4577
539	2572	4572
540	2576	4567
541	2581	4562
542	2585	4557
543	2590	4551
544	2594	4546
545	2599	4541
546	2603	4536
547	2608	4531
548	2613	4526
549	2617	4521
550	2622	4516
551	2626	4511
552	2631	4506
553	2635	4500
554	2640	4495
555	2645	4490
556	2649	4485
557	2654	4480
558	2658	4475
559	2663	4470
560	2667	4465
561	2672	4460
562	2677	4456
563	2682	4452
564	2687	4447
565	2691	4441
566	2696	4437
567	2701	4432
568	2705	4426
569	2710	4422
570	2715	4417
571	2719	4412
572	2724	4407
573	2728	4402
574	2733	4397
575	2738	4392
576	2742	4387
577	2747	4382
578	2751	4377
579	2756	4372
580	2761	4367
581	2765	4362
582	2770	4357
583	2774	4352
584	2779	4347
585	2784	4342
586	2788	4337
587	2793	4332
588	2797	4326
589	2802	4321
590	2806	4316
591	2810	4311
592	2815	4306
593	2819	4300
594	2824	4295
595	2828	4290
596	2832	4285
597	2837	4280
598	2842	4275
599	2846	4270
600	2851	4265
601	2856	4260
602	2860	4255
603	2865	4250
604	2869	4245
605	2874	4240
606	2878	4235
607	2883	4230
608	2888	4225
609	2892	4220
610	2897	4215
611	2901	4210
612	2906	4205
613	2911	4200
614	2915	4195
615	2920	4190
616	2924	4185
617	2929	4180
618	2934	4175
